venue,year,facets,relation,confidence,prerank_rank,cited_by_count,oa_url,title,authors,why,key
DEON,2008,bounded-deontics,prior-art,high,69,29,http://espace.library.uq.edu.au/view/UQ:134084/part1.pdf,Changing Legal Systems: Abrogation and Annulment Part I: Revision of Defeasible Theories,Guido Governatori; Antonino Rotolo,Governatori/Rotolo model legal abrogation/annulment via defeasible-theory revision; legal-change formalization.,conf/deon/GovernatoriR08
DEON,2004,bounded-deontics,prior-art,med,646,29,https://dspace.library.uu.nl/bitstream/handle/1874/19701/dignum_04_collective.pdf?sequence=1&isAllowed=y,Collective Obligations and Agents: Who Gets the Blame?,Davide Grossi; Frank Dignum; Lambèr M. M. Royakkers; John-Jules Ch. Meyer,Formal analysis of collective obligations and individual blame/responsibility assignment within groups.,conf/deon/GrossiDRM04
DEON,2006,bounded-deontics,prior-art,med,484,26,http://link.springer.com/chapter/10.1007/11786849_5,A Logical Architecture of a Normative System,Guido Boella; Leendert W. N. van der Torre,"Logical architecture combining counts-as, institutional constraints, obligations and permissions.",conf/deon/BoellaT06
DEON,2010,bounded-deontics,contrasts,high,703,22,https://biblio.ugent.be/publication/1854791,Avoiding Deontic Explosion by Contextually Restricting Aggregation,Joke Meheus; Mathieu Beirlaen; Frederik Van De Putte,Adaptive logic restricting aggregation to avoid deontic explosion from conflicting obligations; directly on obligation conflicts.,conf/deon/MeheusBP10
DEON,2012,bounded-deontics,prior-art,high,40,21,,Possible World Semantics for Defeasible Deontic Logic,Guido Governatori; Antonino Rotolo; Erica Calardo,"Possible-world semantics for Defeasible Deontic Logic; Governatori school, directly aligns with defeasible-deontics approach.",conf/deon/GovernatoriRC12
DEON,2006,bounded-deontics,prior-art,high,708,20,,A State/Event Temporal Deontic Logic,Julien Brunel; Jean-Paul Bodeveix; Mamoun Filali,State/event temporal deontic logic with explicit deadline-obligation operator; contract-deadline relevant.,conf/deon/BrunelBF06
DEON,2006,bounded-deontics|fm-in-law,prior-art,high,418,19,https://dspace.library.uu.nl/handle/1874/19972,"Strategic Deontic Temporal Logic as a Reduction to ATL, with an Application to Chisholm&apos;s Scenario",Jan M. Broersen,Strategic deontic temporal logic reduced to ATL; directly resolves Chisholm's contrary-to-duty paradox.,conf/deon/Broersen06
DEON,2014,bounded-deontics,prior-art,high,636,18,http://orbilu.uni.lu/handle/10993/24914,&quot;Sing and Dance!&quot; - Input/Output Logics without Weakening,Xavier Parent; Leendert W. N. van der Torre,Extends input/output logic (conditional-norm framework) to systems without weakening; core computational normative logic.,conf/deon/ParentT14
DEON,2004,fm-in-law|bounded-deontics,prior-art,high,713,18,,Automatic Verification of Deontic Properties of Multi-agent Systems,Franco Raimondi; Alessio Lomuscio,OBDD-based model-checking algorithm verifying deontic/epistemic properties of multiagent systems.,conf/deon/RaimondiL04
DEON,2010,bounded-deontics,prior-art,high,366,17,,Deontics = Betterness + Priority,Johan van Benthem; Davide Grossi; Fenrong Liu,Foundational reformulation: deontic logic as betterness ordering + priority/law; core obligation semantics.,conf/deon/BenthemGL10
DEON,2004,fm-in-law,prior-art,med,460,17,,Social Laws in Alternating Time,Michael J. Wooldridge,Frames social-law effectiveness/synthesis as ATL model-checking problems; precedent for verification-as-bug-finding.,conf/deon/Wooldridge04
DEON,2010,bounded-deontics,prior-art,high,667,17,,Towards Metalogical Systematisation of Deontic Action Logics Based on Boolean Algebra,Robert Trypuz; Piotr Kulicki,Metalogical systematization of deontic action logics on Boolean algebra; action-indexed obligation framework.,conf/deon/TrypuzK10
DEON,1996,bounded-deontics,prior-art,med,844,16,,Doing as We Ought: Towards a Logic of Simply Dischargeable Obligations,Mark A. Brown,"Diachronic deontic logic with branching time, modeling discharge of obligations over time.",conf/deon/Brown96
DEON,2008,bounded-deontics|fm-in-law,prior-art,med,458,15,,A Tableaux System for Deontic Action Logic,Pablo F. Castro; T. S. E. Maibaum,Sound/complete tableaux proof system for deontic action logic used in fault-tolerance reasoning.,conf/deon/CastroM08
DEON,2012,bounded-deontics,contrasts,high,552,15,,The Logic of Obligation as Weakest Permission - (Short Version),Olivier Roy; Albert J. J. Anglberger; Norbert Gratzl,Obligation reinterpreted as weakest permission; alternative foundational deontic semantics with game-theoretic application.,conf/deon/RoyAG12
DEON,2014,bounded-deontics,prior-art,high,693,15,,Combining Constitutive and Regulative Norms in Input/Output Logic,Xin Sun; Leendert W. N. van der Torre,Combines constitutive (counts-as) and regulative norms in input/output logic with full axiomatizations; core normative-systems framework.,conf/deon/SunT14
DEON,2004,fm-in-law|bounded-deontics,prior-art,med,936,15,https://dspace.library.uu.nl/handle/1874/19965,Specifying Multiagent Organizations,Leendert W. N. van der Torre; Joris Hulstijn; Mehdi Dastani; Jan M. Broersen,KBDIOCTL logic for specifying/verifying obligations and permissions in normative multiagent organizations.,conf/deon/TorreHDB04
DEON,2008,bounded-deontics,prior-art,med,346,14,http://www.iiia.csic.es/files/pdfs/1659.pdf,Introducing Grades in Deontic Logics,Pilar Dellunde; Lluís Godo,Introduces graded/fuzzy modalities into standard deontic logic; deontic-as-lattice extension.,conf/deon/DellundeG08
DEON,2006,bounded-deontics,prior-art,med,621,14,http://link.springer.com/chapter/10.1007/11786849_6,Delegation of Power in Normative Multiagent Systems,Guido Boella; Leendert W. N. van der Torre,Reconsiders counts-as relations and delegated institutional-fact recognition in normative multiagent systems.,conf/deon/BoellaT06a
DEON,2004,bounded-deontics|fm-in-law,prior-art,med,849,14,,On Obligations and Abilities,Wojciech Jamroga; Wiebe van der Hoek; Michael J. Wooldridge,Combines deontic logic with Alternating-time Temporal Logic to reason about obligations and agent abilities.,conf/deon/JamrogaHW04
DEON,1996,bounded-deontics,prior-art,high,215,13,https://espace.library.uq.edu.au/view/UQ:9610/DEON96.pdf,Towards a Computational Treatment of Deontic Defeasibility,Alberto Artosi; Guido Governatori; Giovanni Sartor,Computational multi-modal logic combining nonmonotonic epistemic logic with Jones-style deontic logic for defeasibility.,conf/deon/ArtosiGS96
DEON,2012,bounded-deontics,method-to-borrow,high,461,13,,An Embedding of Input-Output Logic in Deontic Logic Programs,Ricardo Gonçalves; José Júlio Alferes,Embeds input-output logic (conditional norms) in answer-set deontic logic programs; computational norm implementation.,conf/deon/GoncalvesA12
DEON,2004,bounded-deontics,prior-art,med,504,12,,Delegation in a Role-Based Organization,Olga Pacheco; Filipe Santos,Deontic/action modal logic for role-based delegation in organizations; institutional-role normative structure.,conf/deon/PachecoS04
DEON,2010,bounded-deontics,prior-art,high,666,12,http://link.springer.com/chapter/10.1007/978-3-642-14183-6_4,Deontic Redundancy: A Fundamental Challenge for Deontic Logic,Leendert W. N. van der Torre,"Foundational treatment of deontic redundancy across permissions, dilemmas, temporal and contrary-to-duty reasoning.",conf/deon/Torre10
DEON,2006,bounded-deontics,prior-art,high,741,12,,Intermediate Concepts in Normative Systems,Lars Lindahl; Jan Odelstad,Lindahl-Odelstad 'joining system' linking legal grounds to consequences (e.g. ownership); core legal-concept theory.,conf/deon/LindahlO06
DEON,1996,bounded-deontics,prior-art,high,859,12,,Combining Agency and Obligation (Preliminary Version),John F. Horty,New ought-to-do operator atop Belnap/Perloff stit theory; foundational agency-obligation combination.,conf/deon/Horty96
DEON,2010,bounded-deontics,prior-art,high,314,11,,"Relevance, Derogation and Permission",Audun Stolpe,"Positive-permission theory via derogation; resolves triviality result, technical contribution to permission logic.",conf/deon/Stolpe10
DEON,2014,bounded-deontics|fm-in-law,method-to-borrow,high,407,11,,Sequent-Based Argumentation for Normative Reasoning,Christian Straßer; Ofer Arieli,"Sequent-based argumentation modeling deontic conflicts, contrary-to-duty and specificity via SDL; computational conflict handling.",conf/deon/StrasserA14
DEON,2010,bounded-deontics,supports,high,133,10,,Retroactive Legal Changes and Revision Theory in Defeasible Logic,Antonino Rotolo,Defeasible logic modeling retroactive legal change (annulment/abrogation/derogation); computational legal-dynamics reasoning.,conf/deon/Rotolo10
DEON,2006,bounded-deontics,prior-art,med,538,10,,Conflicting Obligations in Multi-agent Deontic Logic,Barteld P. Kooi; Allard M. Tamminga,Extends Horty's multiagent deontic logic with utilities for group-obligation reasoning under conflict.,conf/deon/KooiT06
DEON,2006,bounded-deontics|fm-in-law,prior-art,med,675,10,,A Complete and Decidable Axiomatisation for Deontic Interpreted Systems,Alessio Lomuscio; Bozena Wozna,Complete decidable axiomatization for deontic interpreted systems combining CTL with obligation/knowledge modalities.,conf/deon/LomuscioW06
DEON,2010,bounded-deontics,contrasts,high,867,10,https://philpapers.org/archive/EVAIEL.pdf,Introducing Exclusion Logic as a Deontic Logic,Richard Evans,New Exclusion Logic proposed as deontic logic with efficient decision procedure; alternative computational deontic system.,conf/deon/Evans10
DEON,2014,bounded-deontics,prior-art,high,1196,10,https://philpapers.org/archive/SAICPA-2.pdf,Chisholm&apos;s Paradox and Conditional Oughts,Catharine Saint Croix; Richmond H. Thomason,Linguistically motivated solution to Chisholm's paradox and conditional oughts; classic CTD problem.,conf/deon/CroixT14
DEON,2014,bounded-deontics,prior-art,high,1200,9,,Open Reading without Free Choice,Albert J. J. Anglberger; Huimin Dong; Olivier Roy,Proves open-reading permission implies Free Choice Permission; core technical result on permission paradoxes.,conf/deon/AnglbergerDR14
DEON,2012,bounded-deontics,prior-art,high,433,8,https://orbilu.uni.lu/handle/10993/26116,Temporal Deontic Logic for the Generalised Chisholm Set of Contrary to Duty Obligations,Dov M. Gabbay,Temporal deontic logic (TSDL) resolving generalised Chisholm contrary-to-duty set paradoxes; core CTD contribution.,conf/deon/Gabbay12
DEON,1996,bounded-deontics,prior-art,high,757,8,,Defeasible Reasoning with Legal Rules,Lambèr M. M. Royakkers; Frank Dignum,Defeasible deontic reasoning with priority hierarchy resolving conflicts directly in legal rules.,conf/deon/RoyakkersD96
DEON,2012,bounded-deontics,prior-art,high,760,8,,A Deontic Action Logic with Sequential Composition of Actions,Piotr Kulicki; Robert Trypuz,Deontic action logic with sequential composition of actions; action-structured obligation formalism.,conf/deon/KulickiT12
DEON,2004,bounded-deontics,prior-art,med,660,7,,Obligation Change in Dependence Logic and Situation Calculus,Robert Demolombe; Andreas Herzig,"Frame problem for obligation change after actions, via dependence logic and situation calculus.",conf/deon/DemolombeH04
DEON,1996,bounded-deontics,prior-art,high,671,7,,From the Fundamental Legal Conceptions of Hohfeld to Legal Relations: Refining the Enrichment of Solely Deontic Legal Relations,Layman E. Allen,Hohfeldian duty/privilege/right analysis refined via stit-like agency; core normative-positions theory.,conf/deon/Allen96
DEON,2004,bounded-deontics,prior-art,med,883,7,,Combinations of Tense and Deontic Modality,Lennart Åqvist,Axiomatized hierarchies combining tense and deontic modality; temporal normative reasoning foundations.,conf/deon/Aqvist04
DEON,2008,bounded-deontics,prior-art,med,1214,7,,"Acting, Events and Actions",Mark A. Brown,STIT-tradition logic integrating ought-to-do (tunsollen) with ought-to-be (sein sollen).,conf/deon/Brown08
DEON,2014,bounded-deontics,prior-art,high,104,6,,A Preference-Based Semantics for CTD Reasoning,Erica Calardo; Guido Governatori; Antonino Rotolo,Preference-based possible-world semantics for reparative-obligation connective handling contrary-to-duty paradoxes.,conf/deon/CalardoGR14
DEON,2006,bounded-deontics,prior-art,high,186,6,,"Sequences, Obligations, and the Contrary-to-Duty Paradox",Adam Zachary Wyner,Wyner's deontic treatment of the classic Contrary-to-Duty paradox via sequences and violation markers.,conf/deon/Wyner06
DEON,2004,bounded-deontics,prior-art,med,779,6,,On Normative-Informational Positions,Andrew J. I. Jones,Extends formal theory of normative positions to information-supply regulation contexts.,conf/deon/Jones04
DEON,2008,bounded-deontics,prior-art,high,1229,6,,Pushing Anderson&apos;s Envelope: The Modal Logic of Ascription,Davide Grossi,Unifies Anderson's reductionist deontic approach with counts-as; Anderson 1958 is prior art Meng already cites.,conf/deon/Grossi08
DEON,2010,bounded-deontics,example,high,375,5,http://orbilu.uni.lu/handle/10993/15940,Obligations and Prohibitions in Talmudic Deontic Logic,Michael Abraham; Dov M. Gabbay; Uri J. Schild,Deontic logic applied to Talmudic law obligations/prohibitions; concrete legal-text formalization case study.,conf/deon/AbrahamGS10
DEON,2014,bounded-deontics,prior-art,high,526,5,,For a Dynamic Semantics of Necessity Deontic Modals,Alessandra Marra,"Dynamic non-truth-functional semantics for necessity deontic modals, resolving classical deontic paradoxes.",conf/deon/Marra14
DEON,2004,bounded-deontics,prior-art,med,559,5,,Conflicting Imperatives and Dyadic Deontic Logic,Jörg Hansen,Dyadic deontic logic semantics for handling conflicting imperatives and normative conflicts.,conf/deon/Hansen04
DEON,2012,bounded-deontics,prior-art,high,781,5,,An Andersonian Deontic Logic with Contextualized Sanctions,Christian Straßer; Mathieu Beirlaen,Andersonian reduction of deontic logic with contextualized sanctions resolving Ross/Good-Samaritan paradoxes; Anderson-1958 lineage.,conf/deon/StrasserB12
DEON,2012,bounded-deontics,supports,high,1242,5,,Agreements as Norms,Paolo Turrini,Deontic logic extended to contractual/agreement aspects of coalitional choice; agreements-as-norms directly relevant.,conf/deon/Turrini12
DEON,2004,bounded-deontics,prior-art,high,203,4,,Maintaining Obligations on Stative Expressions in a Deontic Action Logic,Adam Zachary Wyner,"Wyner's deontic action logic for stative obligations in contract formation, execution, and monitoring.",conf/deon/Wyner04
DEON,2012,bounded-deontics,prior-art,med,593,4,,Discussion Paper: Changing Norms Is Changing Obligation Change,Jan M. Broersen; Dov M. Gabbay; Leendert W. N. van der Torre,Discussion paper on norm/obligation change as second-order dynamics; foundational norm-change theory.,conf/deon/BroersenGT12
DEON,2010,bounded-deontics,prior-art,high,706,4,http://orbilu.uni.lu/handle/10993/14547,Moral Particularism and Deontic Logic,Xavier Parent,Input/output-logic theory linking contrary-to-duty obligations and moral particularism/reason holism.,conf/deon/Parent10
DEON,2008,bounded-deontics,prior-art,high,910,4,,Strata of Intervenient Concepts in Normative Systems,Lars Lindahl; Jan Odelstad,Algebraic ground-consequence chains for legal concepts (purchase->ownership->power); Hohfeldian normative-position formalization.,conf/deon/LindahlO08
DEON,2014,bounded-deontics|fm-in-law,supports,high,90,3,,Detecting Deontic Conflicts in Dynamic Settings,Silvano Colombo Tosatto; Guido Governatori; Pierre Kelsen,"Detects conflicting obligations/permissions in dynamic regulatory settings; conflict-detection-as-verification, directly relevant.",conf/deon/TosattoGK14
DEON,2006,bounded-deontics,prior-art,med,1134,3,,Don&apos;t Ever Do That! Long-Term Duties in PDeL,Jesse Hughes; Lambèr M. M. Royakkers,Extends Meyer's PDeL with long-term/indebtedness obligations beyond immediate duties; CTD-adjacent.,conf/deon/HughesR06
DEON,2006,bounded-deontics,prior-art,med,560,2,,Permissions and Uncontrollable Propositions in DSDL3: Non-monotonicity and Algorithms,Souhila Kaci; Leendert W. N. van der Torre,Non-monotonic algorithmic extensions of dyadic DSDL3 permissions with controllable/uncontrollable propositions.,conf/deon/KaciT06
DEON,2010,bounded-deontics|fm-in-law,prior-art,high,561,2,,Axioms for Obligation and Robustness with Temporal Logic,Tim French; John Christopher McCabe-Dansted; Mark Reynolds,Axiomatizes RoCTL* (obligation+temporal CTL*) expressing contrary-to-duty; temporal deontic logic for verification.,conf/deon/FrenchMR10
DEON,2014,bounded-deontics,prior-art,high,737,2,https://orbilu.uni.lu/handle/10993/26837,Toward a Linguistic Interpretation of Deontic Paradoxes - Beth-Reichenbach Semantics Approach for a New Analysis of the Miners Scenario,Dov M. Gabbay; Livio Robaldo; Xin Sun; Leendert W. N. van der Torre; Zohreh Baniasadi,"Beth-Reichenbach semantics analyzing deontic paradoxes via miners scenario, a classic contrary-to-duty dilemma.",conf/deon/GabbayRSTB14
DEON,2006,bounded-deontics,prior-art,med,785,2,,Acting with an End in Sight,Mark A. Brown,Extends Horty-Belnap action account with tense/intention operators for means/ends deontic reasoning.,conf/deon/Brown06
DEON,2014,bounded-deontics,prior-art,high,952,2,,Deontic Diversity,Sven Ove Hansson,"Foundational survey arguing deontic logic comprises diverse structural patterns, not one unified logic.",conf/deon/Hansson14
DEON,2012,bounded-deontics|intro,prior-art,high,1313,2,http://www.irit.fr/~Andreas.Herzig/P/Deon12.pdf,"A Computationally Grounded Dynamic Logic of Agency, with an Application to Legal Actions",Andreas Herzig; Tiago de Lima; Emiliano Lorini; Nicolas Troquard,Computationally grounded dynamic logic of agency (stit) explicitly applied to legal actions.,conf/deon/HerzigLLT12
DEON,2012,bounded-deontics,contrasts,high,759,1,,Sanction Semantics and Contrary-to-Duty Obligations,Louwe B. Kuijer,Shows sanction semantics cannot faithfully represent contrary-to-duty obligations; key negative CTD result.,conf/deon/Kuijer12
DEON,2014,bounded-deontics,prior-art,high,982,1,,A Deontic Logic of Actions and States,Robert Trypuz; Piotr Kulicki,Unified deontic logic of actions and states combining general and specific norms; action-state obligation framework.,conf/deon/TrypuzK14
DEON,2008,bounded-deontics,prior-art,high,1368,1,,Norms in Branching Space-Times,Nuel Belnap,Belnap's branching-space-times foundation for norms/agency/indeterminism; foundational STIT normative theory.,conf/deon/Belnap08
DEON,2004,bounded-deontics,prior-art,high,1052,0,,"Obligation, Contracts, and Negotiation",Mark A. Brown,Analyzes obligations arising from contracts/negotiation; ties deontic logic directly to contractual relationships.,conf/deon/Brown04
DEON,2006,bounded-deontics,prior-art,med,1053,0,,"Roles, Counts-as and Deontic and Action Logics",José Carmo,"Organizational obligations and acting-on-behalf-of via counts-as, roles, deontic and action logics.",conf/deon/Carmo06
ICAIL,1989,intro,prior-art,high,227,157,https://dl.acm.org/doi/pdf/10.1145/74014.74037,A Language for Legal Discourse I: Basic Features,L. Thorne McCarty,Foundational language for legal discourse with deep conceptual models,conf/icail/McCarty89
ICAIL,2005,bounded-deontics,prior-art,high,1,144,http://espace.library.uq.edu.au/view/UQ:9579/ic05.pdf,Temporalised Normative Positions in Defeasible Logic,Guido Governatori; Antonino Rotolo; Giovanni Sartor,Temporalised deontic normative positions in defeasible logic; core deontic-temporal formalism.,conf/icail/GovernatoriRS05
ICAIL,2003,bounded-deontics,prior-art,high,100,111,,Permissions and Obligations in Hierarchical Normative Systems,Guido Boella; Leendert W. N. van der Torre,Weak/strong permission in hierarchical normative systems via input/output logic.,conf/icail/BoelleT03
ICAIL,1987,intro,prior-art,high,39,109,https://dl.acm.org/doi/pdf/10.1145/41735.41757,Logic Programming for Large Scale Applications in Law: A Formalisation of Supplementary Benefit Legislation,Trevor J. M. Bench-Capon; G. O. Robinson; Tom Routen; Marek J. Sergot,Classic logic-programming formalisation of UK Supplementary Benefit legislation as executable law.,conf/icail/Bench-CaponRRS87
ICAIL,2003,intro|fm-in-law,prior-art,high,428,84,,Logic-Based Regulation Compliance-Assistance,Shawn Kerrigan; Kincho H. Law,First-order predicate-calculus regulation compliance-assistance system (environmental regulations),conf/icail/KerriganL03
ICAIL,2013,cnl|bounded-deontics,prior-art,high,34,78,,OASIS LegalRuleML,Tara Athan; Harold Boley; Guido Governatori; Monica Palmirani; Adrian Paschke; Adam Z. Wyner,"OASIS LegalRuleML core: deontic operators, defeasibility, legal-source markup.",conf/icail/AthanBGPPW13
ICAIL,1993,determinacy-frontier,contrasts,high,72,78,,Neural Networks and Open Texture,Trevor J. M. Bench-Capon,Neural nets vs symbolic rules for open-texture classification; direct open-texture facet hit.,conf/icail/Bench-Capon93
ICAIL,1995,bounded-deontics,prior-art,high,156,66,https://dl.acm.org/doi/pdf/10.1145/222092.222243,Obligations Directed from Bearers to Counterparts,Henning Herrestad; Christen Krogh,Hohfeldian logical analysis of directed obligation/prohibition/permission between bearer and counterpart,conf/icail/HerrestadK95
ICAIL,2001,intro,method-to-borrow,med,25,65,http://espace.library.uq.edu.au/view/UQ:9619/governatori.pdf,A formal approach to legal negotiation,Guido Governatori; Marlon Dumas; Arthur H. M. ter Hofstede; Phillipa Oaks,Formal executable framework/protocol for automated legal negotiation with defeasible reasoning module.,conf/icail/GovernatoriDHO01
ICAIL,1989,bounded-deontics|intro,prior-art,high,174,60,,"Deep Models, Normative Reasoning and Legal Expert Systems",Trevor J. M. Bench-Capon,Discusses role of deontic logic and deep models in legal expert systems,conf/icail/Bench-Capon89
ICAIL,2015,bounded-deontics|fm-in-law,contrasts,high,3,51,https://arxiv.org/pdf/1404.1685,Thou shalt is not you will,Guido Governatori,CTD/permission paradox arguing temporal logic ill-suited to norms; bears on deontic-as-LTL question.,conf/icail/Governatori15
ICAIL,2001,intro,prior-art,high,427,51,,Power: Using UML/OCL for modelling legislation - an application report,Tom M. van Engers,POWER project: UML/OCL modeling of tax legislation with automatic code generation for DTCA,conf/icail/Engers01
ICAIL,1993,determinacy-frontier,prior-art,med,32,46,https://dl.acm.org/doi/pdf/10.1145/158976.159001,A Simple Computational Model for Nonmonotonic and Adversarial Legal Reasoning,Giovanni Sartor,Nonmonotonic reasoning over semantically indeterminate/conflicting legal norms.,conf/icail/Sartor93
ICAIL,2007,bounded-deontics,prior-art,high,4,41,http://espace.library.uq.edu.au/view/UQ:13611/icail.pdf,Variants of temporal defeasible logics for modelling norm modifications,Guido Governatori; Antonino Rotolo; Régis Riveret; Monica Palmirani; Giovanni Sartor,Temporal defeasible logic variants for norm modification persistence vs blocking.,conf/icail/GovernatoriRRPS07
ICAIL,1991,intro,prior-art,high,311,41,,Separating World and Regulation Knowledge: Where is the Logic,Joost Breuker; Nienke den Haan,Classic KR debate: separating world knowledge from regulation knowledge in legal reasoning,conf/icail/BreukerH91
ICAIL,1987,intro,prior-art,high,505,41,,A Prolog Model of the Income Tax Act of Canada,D. M. Sherman,"Prolog-based computational model of Canada's Income Tax Act, rules-as-code",conf/icail/Sherman87
ICAIL,2003,intro|fm-in-law,prior-art,high,416,39,,An Executable Specification of an Argumentation Protocol,Alexander Artikis; Marek J. Sergot; Jeremy Pitt,"Executable specification of a normative argumentation protocol in action language C+, run via CCALC",conf/icail/ArtikisSP03
ICAIL,1987,intro,prior-art,high,1022,38,https://dl.acm.org/doi/pdf/10.1145/41735.41762,Esplex: A Rule and Conceptual Model for Representing Statutes,Carlo Biagioli; Paola Mariani; Daniela Tiscornia,Esplex: classic rule-and-conceptual model for representing statutes as computable rules.,conf/icail/BiagioliMT87
ICAIL,1989,determinacy-frontier|intro,prior-art,high,271,36,https://dl.acm.org/doi/pdf/10.1145/74014.74021,Interpreting Statutory Predicates,Edwina L. Rissland; David B. Skalak,CABARET hybrid CBR+rule-based system for statutory predicate interpretation,conf/icail/RisslandS89
ICAIL,1989,intro,prior-art,high,465,36,https://dl.acm.org/doi/pdf/10.1145/74014.74016,The Treatment of Negation in Logic Programs for Representing Legislation,Robert A. Kowalski,"Kowalski's logic-program representation of legislation, negation-as-failure",conf/icail/Kowalski89
ICAIL,1991,bounded-deontics,prior-art,med,107,35,,The Structure of Norm Conditions and Nonmonotonic Reasoning in Law,Giovanni Sartor,Foundational structure-of-norm-conditions analysis; formalism adequacy for rules/exceptions (OCR-garbled abstract).,conf/icail/Sartor91
ICAIL,1991,intro,prior-art,high,265,35,https://dl.acm.org/doi/pdf/10.1145/112646.112660,Legislative Knowledge Base Systems for Public Administration: Some Practical Issues,Peter Johnson; David Mead,Legislative knowledge-base systems as rule-delivery vehicles for public administration,conf/icail/JohnsonM91
ICAIL,1997,bounded-deontics,prior-art,high,363,32,https://dl.acm.org/doi/pdf/10.1145/261618.261658,Towards a Logical Formalization of Responsibility,Laurence Cholvy; Frédéric Cuppens; Claire Saurel,Logical framework combining deontic logic with action logic to formalize responsibility,conf/icail/CholvyCS97
ICAIL,2015,determinacy-frontier|bounded-deontics,prior-art,high,6,31,,Deontic defeasible reasoning in legal interpretation: two options for modelling interpretive arguments,Antonino Rotolo; Guido Governatori; Giovanni Sartor,Deontic defeasible logic for modelling interpretive-canon argumentation.,conf/icail/RotoloGS15
ICAIL,2013,determinacy-frontier,prior-art,high,30,31,http://ruj.uj.edu.pl/xmlui/handle/item/12551,Modeling teleological interpretation,Tomasz Zurek; Michal Araszkiewicz,Model of teleological interpretation of statutory rules.,conf/icail/ZurekA13
ICAIL,1995,bounded-deontics|determinacy-frontier,prior-art,med,795,30,https://dl.acm.org/doi/pdf/10.1145/222092.222099,Hart&apos;s Critics on Defeasible Concepts and Ascriptivism,Ronald Prescott Loui,Engages Hart's foundational theory of defeasibility and ascription of responsibility.,conf/icail/Loui95
