relevance,venue,year,facets,relation,confidence,prerank_rank,cited_by_count,oa_url,title,authors,why,key
core,ICAIL,2025,cnl|intro,prior-art,high,163,0,https://doi.org/10.1145/3769126.3769254,"You Take the High Road, and I&apos;ll Take the Low Road: Large Language Models Logical English and the Highway Code",Thiago Raulino Dal Pont; Galileo Sartor; Adam Z. Wyner; Giovanni Sartor,"LLM + Logical English (CNL) pipeline translating traffic rules into executable rule-based framework, simulation-validated",conf/icail/PontSWS25
core,JURIX,2008,fm-in-law,prior-art,high,166,23,,An Algorithm for Business Process Compliance,Guido Governatori; Antonino Rotolo,Algorithm for checking business-process compliance against business rules,conf/jurix/GovernatoriR08
core,ICAIL,2017,determinacy-frontier,prior-art,high,167,7,http://hdl.handle.net/2318/1650088,Compliance patterns: harnessing value modeling and legal interpretation to manage regulatory conversations,Robert Muthuri; Guido Boella; Joris Hulstijn; Sara Capecchi; Llio Humphreys,Explicitly addresses law's open texture requiring interpretation before compliance application,conf/icail/MuthuriBHCH17
core,JURIX,2022,determinacy-frontier,prior-art,high,172,0,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA220443,A Hybrid Model of Argument Concerning Preferences Between Statutory Interpretation Canons,Michal Araszkiewicz,Argument model of preferences between statutory-interpretation canons; squarely statutory interpretation,conf/jurix/Araszkiewicz22
core,JURIX,2023,intro|bounded-deontics,supports,high,173,3,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA230954,Deontics and Time in Contracts: An Executable Semantics for the L4 DSL,Seng Joe Watt; Oliver R. Goodenough; Meng Weng Wong,"L4 paper itself: executable semantics for deontics and time in the L4 DSL, Maude implementation",conf/jurix/WattGW23
core,ICAIL,1989,bounded-deontics|intro,prior-art,high,174,60,,"Deep Models, Normative Reasoning and Legal Expert Systems",Trevor J. M. Bench-Capon,Discusses role of deontic logic and deep models in legal expert systems,conf/icail/Bench-Capon89
core,JURIX,2016,cnl|intro,prior-art,high,175,4,,Towards a Methodology for Formalizing Legal Texts in LegalRuleML,Adeline Nazarenko; François Lévy; Adam Z. Wyner,Methodology for formalizing legal texts into LegalRuleML at multiple granularities,conf/jurix/NazarenkoLW16
core,JURIX,2021,bounded-deontics,prior-art,high,177,3,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA210330,A Kelsenian Deontic Logic,Agata Ciabattoni; Xavier Parent; Giovanni Sartor,Kelsenian deontic logic of normative causality solving deontic paradoxes,conf/jurix/CiabattoniPS21
core,JURIX,2019,bounded-deontics|fm-in-law,prior-art,high,179,4,https://doi.org/10.3233/faia190321,Legal Compliance in a Linked Open Data Framework,Enrico Francesconi; Guido Governatori,OWL2-based deontic norm modeling with defeasibility and decidable compliance-checking reasoners,conf/jurix/FrancesconiG19
core,JURIX,2017,cnl,prior-art,high,181,8,https://doi.org/10.3233/978-1-61499-838-9-101,On Annotation of the Textual Contents of Scottish Legal Instruments,Adam Z. Wyner; Fraser Gough; François Lévy; Matt Lynch; Adeline Nazarenko,Pilot methodology annotating Scottish legal instruments with LegalRuleML elements,conf/jurix/WynerGLLN17
core,JURIX,2018,bounded-deontics|intro,prior-art,high,183,12,https://doi.org/10.3233/978-1-61499-935-5-21,On Observing Contracts: Deontic Contracts Meet Smart Contracts,Shaun Azzopardi; Gordon J. Pace; Fernando Schapachnik,Deontic contract monitoring of smart contracts for real-time violation detection,conf/jurix/AzzopardiPS18
core,DEON,2006,bounded-deontics,prior-art,high,186,6,,"Sequences, Obligations, and the Contrary-to-Duty Paradox",Adam Zachary Wyner,Wyner's deontic treatment of the classic Contrary-to-Duty paradox via sequences and violation markers.,conf/deon/Wyner06
core,ICAIL,2025,bounded-deontics|cnl,prior-art,high,188,1,https://doi.org/10.1145/3769126.3769257,Legal Explanation in Defeasible Deontic Logic via LegalRuleML,Guido Governatori; Monica Palmirani,Legal explanation via Defeasible Deontic Logic encoded/translated through LegalRuleML,conf/icail/GovernatoriP25
core,ICAIL,2019,determinacy-frontier,prior-art,med,190,6,,Value assessment and revision in legal interpretation,Juliano Maranhão; Giovanni Sartor,Constructive legal interpretation as theory revision over balancing-values/deontological i/o logic,conf/icail/MaranhaoS19
core,JURIX,2014,determinacy-frontier,prior-art,high,194,5,,Interpretative Argumentation Schemes,Douglas Walton; Fabrizio Macagno; Giovanni Sartor,Argumentation schemes explicitly for contested statutory interpretation,conf/jurix/WaltonMS14
core,DEON,2004,bounded-deontics,prior-art,high,203,4,,Maintaining Obligations on Stative Expressions in a Deontic Action Logic,Adam Zachary Wyner,"Wyner's deontic action logic for stative obligations in contract formation, execution, and monitoring.",conf/deon/Wyner04
core,ICAIL,2023,intro|determinacy-frontier,supports,high,211,2,https://ruj.uj.edu.pl/xmlui/handle/item/324349,Identification of Legislative Errors,Michal Araszkiewicz; Enrico Francesconi; Tomasz Zurek,"Detects legislative drafting errors via formal comparison of provision semantics, akin to L4's bug-finding claim",conf/icail/AraszkiewiczFZ23
core,ICAIL,2017,fm-in-law,prior-art,high,214,3,,Performance improvement on legal model checking,Carlos Faciano; Sergio Mera; Fernando Schapachnik; Ana Haydée Di Iorio; Bibiana Luz Clara; Verónica Uriarte; María Fernanda Giaccaglia; María Belén Ruffa; Cristian Marcos,"FormaLex model checker for legal-document coherence, applied to a real consumer-protection act",conf/icail/FacianoMSICUGRM17
core,DEON,1996,bounded-deontics,prior-art,high,215,13,https://espace.library.uq.edu.au/view/UQ:9610/DEON96.pdf,Towards a Computational Treatment of Deontic Defeasibility,Alberto Artosi; Guido Governatori; Giovanni Sartor,Computational multi-modal logic combining nonmonotonic epistemic logic with Jones-style deontic logic for defeasibility.,conf/deon/ArtosiGS96
core,ICAIL,2021,intro,prior-art,high,216,4,,Practical tools from formal models: the ECHR as a case study,Katie Atkinson; Joe Collenette; Trevor J. M. Bench-Capon; Kanstantsin Dzehtsiarou,"Executable ANGELIC model + interface collecting facts and giving explanations for ECHR, directly parallel to L4 citizen wizards",conf/icail/AtkinsonCBD21
core,ICAIL,1993,intro|determinacy-frontier,prior-art,high,220,13,https://dl.acm.org/doi/pdf/10.1145/158976.158988,Legal Interpretation in Expert Systems,Daniel Poulin; Paul Bratley; Jacques Frémont; Ejan Mackaay,Legal expert system recasting interpreted statute/case-law text into formal legal rules,conf/icail/PoulinBFM93
core,JURIX,2009,intro,prior-art,high,222,19,,Translating the Japanese Presupposed Ultimate Fact Theory into Logic Programming,Ken Satoh; Masahiro Kubota; Yoshiaki Nishigai; Chiaki Takano,Formalizes Japanese legal presupposed-fact theory as logic programming with negation-as-failure,conf/jurix/SatohKNT09
core,ICAIL,1989,intro,prior-art,high,224,26,,Hierarchically Organised Formalisations,Tom Routen,Argues statutes have multi-layered logical structure formalizations must mirror,conf/icail/Routen89
core,ICAIL,1989,intro,prior-art,high,227,157,https://dl.acm.org/doi/pdf/10.1145/74014.74037,A Language for Legal Discourse I: Basic Features,L. Thorne McCarty,Foundational language for legal discourse with deep conceptual models,conf/icail/McCarty89
core,ICAIL,2017,intro|determinacy-frontier,prior-art,high,229,1,,Interpreting contracts using english common law rules as stated by Lord Hoffmann,John Henderson; Trevor J. M. Bench-Capon,"Computational procedure for contract interpretation per common-law rules, ontology-based",conf/icail/HendersonB17
core,ICAIL,2025,bounded-deontics,method-to-borrow,high,230,1,https://doi.org/10.1145/3769126.3769260,"&quot;Lost in EU Regulation? Don&apos;t Worry, AI Found the Obligation&quot;: Extracting and Representing Legal Obligations in the GDPR the DSA and the AI Act",Thiago Raulino Dal Pont; Federico Galli; Galileo Sartor; Giuseppe Contissa,"LLM pipeline extracting/structuring deontic obligations from GDPR, DSA, AI Act",conf/icail/PontGSC25
core,JURIX,2018,bounded-deontics|intro,prior-art,high,237,45,https://doi.org/10.3233/978-1-61499-935-5-101,Modelling Legal Knowledge for GDPR Compliance Checking,Monica Palmirani; Guido Governatori,GDPR compliance checking via BPMN + Regorous defeasible-logic engine,conf/jurix/PalmiraniG18
core,JURIX,2012,intro|fm-in-law,prior-art,high,239,14,http://hdl.handle.net/2318/1698231,An Empirical Approach to the Semantic Representation of Laws,Adam Z. Wyner; Johan Bos; Valerio Basile; Paulo Quaresma,State-of-art automatic translation of laws to machine-readable formal representation,conf/jurix/WynerBBQ12
core,JURIX,2024,bounded-deontics|determinacy-frontier,prior-art,high,242,2,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA241233,Modeling Judicial Discretion with Nuanced Permissions,Josephine Dik; Réka Markovich,Deontic logic of nuanced permissions modeling judicial discretion in custody cases,conf/jurix/DikM24
core,ICAIL,2025,bounded-deontics|determinacy-frontier,prior-art,high,243,0,,Judicial Discretion as Normative Reasoning: Deontic Characterization of Judicial Decision Making with Answer Set Programming,Josephine Dik; Réka Markovich,ASP-based deontic characterization of judicial discretion and its boundaries,conf/icail/DikM25
core,ICAIL,2025,fm-in-law,method-to-borrow,high,244,0,https://doi.org/10.1145/3769126.3769207,A Causal Model Checker for Legal Cases,Ruta Liepina; Tiago de Lima; Emiliano Lorini; Giuseppe Pisano; Giovanni Sartor,"Model checker (TQBF) for causal notions (NESS, actual cause) in legal cases",conf/icail/LiepinaLLPS25
core,JURIX,2022,bounded-deontics|fm-in-law,prior-art,high,246,1,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA220460,An Automata-Based Formalism for Normative Documents with Real-Time,Stefan Chircop; Gordon J. Pace; Gerardo Schneider,Timed contract automata operationalizing real-time deontic logic for monitoring,conf/jurix/ChircopPS22
core,JURIX,2019,intro,prior-art,high,249,3,https://doi.org/10.3233/faia190318,Renvoi in Private International Law: A Formalization with Modal Contexts,Matteo Baldoni; Laura Giordano; Ken Satoh,Multimodal logic formalization of the renvoi doctrine in private international law,conf/jurix/Baldoni0S19
core,DEON,2004,bounded-deontics,prior-art,high,252,104,https://dspace.library.uu.nl/handle/1874/11502,Designing a Deontic Logic of Deadlines,Jan M. Broersen; Frank Dignum; Virginia Dignum; John-Jules Ch. Meyer,Dyadic deadline-obligation operator formalized in CTL branching-time models; directly relevant to deadlines.,conf/deon/BroersenDDM04
core,ICAIL,2023,determinacy-frontier,prior-art,high,257,9,https://dl.acm.org/doi/pdf/10.1145/3594536.3595148,Reasoning with hierarchies of open-textured predicates,Ilaria Canavotto; John F. Horty,Precedential constraint over hierarchies of open-textured legal predicates,conf/icail/CanavottoH23
core,JURIX,2019,bounded-deontics|intro,prior-art,high,258,8,https://doi.org/10.3233/faia190320,Defeasible Systems in Legal Reasoning: A Comparative Assessment,Roberta Calegari; Giuseppe Contissa; Francesca Lagioia; Andrea Omicini; Giovanni Sartor,"Comparative survey of defeasible-reasoning formalisms for legal knowledge (DL, ASP, ASPIC+)",conf/jurix/CalegariCLOS19
core,JURIX,2017,determinacy-frontier,prior-art,high,263,0,https://doi.org/10.3233/978-1-61499-838-9-107,Balancing with Thresholds,Michal Araszkiewicz; Tomasz Zurek,Formal model of value-balancing in teleological statutory interpretation,conf/jurix/AraszkiewiczZ17
core,ICAIL,2005,bounded-deontics,prior-art,high,264,26,,Permission and Authorization in Normative Multiagent Systems,Guido Boella; Leendert W. N. van der Torre,Distinguishes permission from authorization in normative multiagent systems,conf/icail/BoellaT05
core,ICAIL,1991,intro,prior-art,high,265,35,https://dl.acm.org/doi/pdf/10.1145/112646.112660,Legislative Knowledge Base Systems for Public Administration: Some Practical Issues,Peter Johnson; David Mead,Legislative knowledge-base systems as rule-delivery vehicles for public administration,conf/icail/JohnsonM91
core,ICAIL,1997,bounded-deontics,prior-art,high,266,4,,Distinguishing Different Roles in Normative Reasoning,Leendert W. N. van der Torre; Yao-Hua Tan,Diagnostic vs decision-theoretic frameworks for reasoning about norm violations/goals,conf/icail/TorreT97
core,ICAIL,2009,intro|bounded-deontics,prior-art,high,267,4,http://www.ifi.uio.no/~gerardo/icail09.pdf,Abstract specification of legal contracts,Cristian Prisacariu; Gerardo Schneider,CL: action-based deontic language for abstract specification of legal contracts,conf/icail/PrisacariuS09
